gene_id	A	B	p-value	FDR	significance
121191	686.274	96.4988	0.00251837	0.038004872	DOWN
121534	42.5722	549.006	0.00252899	0.038102056	UP
51378	5.35291	23.6689	0.0025559	0.038443941	UP
121789	33.2046	148.401	0.00256801	0.038562457	UP
62780	35.0201	6.99814	0.00259368	0.03888387	DOWN
123227	82.8648	16.054	0.00260814	0.039036447	DOWN
108398	9.57632	49.0225	0.00261365	0.039054786	UP
46421	115.037	26.3084	0.00261819	0.039058595	DOWN
71532	7.50699	46.3947	0.00262998	0.039116519	UP
69742	8.96293	1.2756	0.00263511	0.039116519	DOWN
119576	12.0379	52.7321	0.00263915	0.039116519	UP
70600	0.0606725	1.26596	0.00264057	0.039116519	UP
60270	9.9269	45.4847	0.00264353	0.039116519	UP
103799	3.76399	19.1238	0.00265776	0.039199957	UP
76227	3.25426	15.2044	0.00265777	0.039199957	UP
107947	3.76222	18.1838	0.00266733	0.039257423	UP
102998	801.046	97.7406	0.00267028	0.039257423	DOWN
81541	300.868	54.5175	0.00267894	0.039271728	DOWN
1777	22.3001	107.771	0.00267987	0.039271728	UP
59053	2.39476	15.2809	0.00268792	0.03932647	UP
80149	69.3797	350.409	0.00271108	0.039601754	UP
121793	85.2558	18.3621	0.00276151	0.040273862	DOWN
109779	1.08851	6.89921	0.00278927	0.040613732	UP
77000	31.7702	163.416	0.00279798	0.040675578	UP
107674	1.96332	11.2092	0.00280981	0.040782513	UP
120751	28.05	136.171	0.00284375	0.041209509	UP
80340	128.461	28.1775	0.00285041	0.041240456	DOWN
55561	3.52694	22.3357	0.00290185	0.041865541	UP
105979	1.83844	12.6215	0.0029028	0.041865541	UP
76971	4.99522	26.2872	0.00291497	0.041974647	UP
122886	692.567	123.217	0.00295283	0.042452753	DOWN
67738	6.12062	0.58908	0.00297447	0.042696526	DOWN
119710	30.2763	167.355	0.00300042	0.043001302	UP
66232	137.791	29.8796	0.00303763	0.043356018	DOWN
106294	34.6451	177.362	0.00303893	0.043356018	UP
119724	24.2328	108.074	0.00303944	0.043356018	UP
103136	0.329491	3.13941	0.00304555	0.043375294	UP
104219	93.7842	14.449	0.00306871	0.04363696	DOWN
27706	3.37976	0.414636	0.00309114	0.043887447	DOWN
103695	0.576828	5.84511	0.00311269	0.04412468	UP
60445	0.176617	2.48734	0.0031409	0.04445544	UP
69834	1.40667	7.95273	0.00315748	0.044620822	UP
4484	57.4427	9.94033	0.00316592	0.044625321	DOWN
22271	0.944932	6.38752	0.00316759	0.044625321	UP
104816	1.93855	11.3376	0.00320665	0.045105887	UP
22115	20.3381	3.99039	0.0032542	0.045704211	DOWN
108776	9.86883	1.74199	0.00329944	0.046268301	DOWN
104209	0.20002	2.65904	0.00332275	0.046523604	UP
59391	0.24571	2.42592	0.00332954	0.046547173	UP
82032	28.0023	198.319	0.00342949	0.047816537	UP
52334	150.292	35.4499	0.00343083	0.047816537	DOWN
57940	25.2484	126.838	0.00346484	0.048216819	UP
111570	0.918024	6.71415	0.00348868	0.048417437	UP
34312	24.4958	134.383	0.00348988	0.048417437	UP
1935	194.127	38.8179	0.00350081	0.048495263	DOWN
119876	1531.37	157.986	0.00355928	0.049230405	DOWN
122374	47.2871	216.439	0.00357738	0.049405786	UP
104469	14.7542	61.0144	0.00361068	0.049790239	UP
